participant_id,gender_clean,age_num,age_bin,clean_item_name,checklist_value
R_UFt6i8AykLzFAEV,boy,9,9 to 10,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_UFt6i8AykLzFAEV,boy,9,9 to 10,marbles,marbles
R_UFt6i8AykLzFAEV,boy,9,9 to 10,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_325WZnGedrAdtZg,girl,3,3 to 4,animal figurines,animal figurines
R_325WZnGedrAdtZg,girl,3,3 to 4,stuffed animals,stuffed animals
R_325WZnGedrAdtZg,girl,3,3 to 4,food,"food / perishables (e.g., specific kinds of candy)"
R_325WZnGedrAdtZg,girl,3,3 to 4,shells,shells
R_325WZnGedrAdtZg,girl,3,3 to 4,bugs,bugs
R_325WZnGedrAdtZg,girl,3,3 to 4,clothes,"specific kinds of clothes or shoes (if yes, enter the specific kind below)"
R_2xRlLDDBaxeuv8o,boy,6,5 to 6,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_2xRlLDDBaxeuv8o,boy,6,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2xRlLDDBaxeuv8o,boy,6,5 to 6,shells,shells
R_3CZBqZDTYmfJWYo,girl,8,7 to 8,stuffed animals,stuffed animals
R_3CZBqZDTYmfJWYo,girl,8,7 to 8,coins,coins / money
R_3CZBqZDTYmfJWYo,girl,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3CZBqZDTYmfJWYo,girl,8,7 to 8,shells,shells
R_3gOt9rCsE5U0fn1,boy,8,7 to 8,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_3qTM7q9DQYWfQ8G,boy,4,3 to 4,balls,"balls (if yes, enter the specific types of objects below)"
R_3qTM7q9DQYWfQ8G,boy,4,3 to 4,coins,coins / money
R_3qTM7q9DQYWfQ8G,boy,4,3 to 4,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_3qTM7q9DQYWfQ8G,boy,4,3 to 4,books,"specific books or book series (if yes, enter any book series your child collects)"
R_3iX6tgBnRP1cCnH,boy,6,5 to 6,coins,coins / money
R_3iX6tgBnRP1cCnH,boy,6,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3iX6tgBnRP1cCnH,boy,6,5 to 6,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_3iX6tgBnRP1cCnH,boy,6,5 to 6,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_3MbTCJj5hWaoVJ9,girl,7,7 to 8,dolls,dolls
R_3MbTCJj5hWaoVJ9,girl,7,7 to 8,stuffed animals,stuffed animals
R_3MbTCJj5hWaoVJ9,girl,7,7 to 8,goo,goo / slime
R_3MbTCJj5hWaoVJ9,girl,7,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3MbTCJj5hWaoVJ9,girl,7,7 to 8,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_022mqADYq2lfOj7,girl,4,3 to 4,coins,coins / money
R_022mqADYq2lfOj7,girl,4,3 to 4,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_022mqADYq2lfOj7,girl,4,3 to 4,shells,shells
R_022mqADYq2lfOj7,girl,4,3 to 4,sticks,sticks
R_022mqADYq2lfOj7,girl,4,3 to 4,flowers,flowers / petals
R_022mqADYq2lfOj7,girl,4,3 to 4,feathers,feathers
R_022mqADYq2lfOj7,girl,4,3 to 4,moss,moss
R_022mqADYq2lfOj7,girl,4,3 to 4,leaves,leaves
R_022mqADYq2lfOj7,girl,4,3 to 4,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_2YFCfK6ySsmrAqW,boy,8,7 to 8,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_2YFCfK6ySsmrAqW,boy,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2YFCfK6ySsmrAqW,boy,8,7 to 8,sticks,sticks
R_b1kJAYOqyfdrQcN,girl,4,3 to 4,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,dolls,dolls
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,animal figurines,animal figurines
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,stuffed animals,stuffed animals
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,balls,"balls (if yes, enter the specific types of objects below)"
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,shells,shells
R_3NQIqdPrtZiGiIh,girl,11,11 to 12,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_24l3h2kNRZgJv6f,girl,3,3 to 4,dolls,dolls
R_24l3h2kNRZgJv6f,girl,3,3 to 4,animal figurines,animal figurines
R_24l3h2kNRZgJv6f,girl,3,3 to 4,stuffed animals,stuffed animals
R_24l3h2kNRZgJv6f,girl,3,3 to 4,board games,"board games (if yes, enter some of your child's favorite games below)"
R_24l3h2kNRZgJv6f,girl,3,3 to 4,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,board games,"board games (if yes, enter some of your child's favorite games below)"
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,shells,shells
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,sticks,sticks
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,flowers,flowers / petals
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_1Fb1x7GHguRJDxH,boy,5,5 to 6,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,dolls,dolls
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,animal figurines,animal figurines
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,stuffed animals,stuffed animals
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,coins,coins / money
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,sticks,sticks
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,flowers,flowers / petals
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,leaves,leaves
R_2CCAz0uLcKSX9sg,girl,4,3 to 4,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_2sXr2ILoflwBOqv,boy,7,7 to 8,animal figurines,animal figurines
R_2sXr2ILoflwBOqv,boy,7,7 to 8,stuffed animals,stuffed animals
R_2sXr2ILoflwBOqv,boy,7,7 to 8,coins,coins / money
R_2sXr2ILoflwBOqv,boy,7,7 to 8,sticks,sticks
R_2sXr2ILoflwBOqv,boy,7,7 to 8,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2sXr2ILoflwBOqv,boy,7,7 to 8,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,dolls,dolls
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,stuffed animals,stuffed animals
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,shells,shells
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,bugs,bugs
R_2SJ4nSzaZUByOKh,girl,8,7 to 8,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,food,"food / perishables (e.g., specific kinds of candy)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_2PqiWGmevaCSUei,boy,9,9 to 10,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,dolls,dolls
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,stuffed animals,stuffed animals
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,coins,coins / money
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,goo,goo / slime
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,photos,photos / pictures
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,clothes,"specific kinds of clothes or shoes (if yes, enter the specific kind below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_xhFvhLrz8zbuhXj,girl,6,5 to 6,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_Tc1TAzVulvenZVT,boy,4,3 to 4,animal figurines,animal figurines
R_Tc1TAzVulvenZVT,boy,4,3 to 4,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_Tc1TAzVulvenZVT,boy,4,3 to 4,sticks,sticks
R_Tc1TAzVulvenZVT,boy,4,3 to 4,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_Tc1TAzVulvenZVT,boy,4,3 to 4,leaves,leaves
R_3G7icsiP6pASJbj,girl,9,9 to 10,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_3G7icsiP6pASJbj,girl,9,9 to 10,stuffed animals,stuffed animals
R_3G7icsiP6pASJbj,girl,9,9 to 10,holiday,"holiday objects (e.g., snow globes or other ornaments)"
R_3G7icsiP6pASJbj,girl,9,9 to 10,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_3G7icsiP6pASJbj,girl,9,9 to 10,books,"specific books or book series (if yes, enter any book series your child collects)"
R_3G7icsiP6pASJbj,girl,9,9 to 10,feathers,feathers
R_3G7icsiP6pASJbj,girl,9,9 to 10,moss,moss
R_3G7icsiP6pASJbj,girl,9,9 to 10,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_3G7icsiP6pASJbj,girl,9,9 to 10,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_33qh0vFa04tKTs2,girl,4,3 to 4,shells,shells
R_33qh0vFa04tKTs2,girl,4,3 to 4,sticks,sticks
R_33qh0vFa04tKTs2,girl,4,3 to 4,flowers,flowers / petals
R_33qh0vFa04tKTs2,girl,4,3 to 4,leaves,leaves
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,animal figurines,animal figurines
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,stuffed animals,stuffed animals
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,sticks,sticks
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,flowers,flowers / petals
R_3lMOS6xCfNe0j4k,girl,3.5,3 to 4,leaves,leaves
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,stamps,stamps
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,animal figurines,animal figurines
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,coins,coins / money
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,sticks,sticks
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,books,"specific books or book series (if yes, enter any book series your child collects)"
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,leaves,leaves
R_AzYWVoX4xhrPuo1,boy,8,7 to 8,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_tQfwRH2iUJMobUB,girl,10,9 to 10,stuffed animals,stuffed animals
R_tQfwRH2iUJMobUB,girl,10,9 to 10,food,"food / perishables (e.g., specific kinds of candy)"
R_tQfwRH2iUJMobUB,girl,10,9 to 10,coins,coins / money
R_tQfwRH2iUJMobUB,girl,10,9 to 10,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_tQfwRH2iUJMobUB,girl,10,9 to 10,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_6L3AB6bHjQUUoaR,girl,7,7 to 8,stuffed animals,stuffed animals
R_6L3AB6bHjQUUoaR,girl,7,7 to 8,coins,coins / money
R_6L3AB6bHjQUUoaR,girl,7,7 to 8,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_6L3AB6bHjQUUoaR,girl,7,7 to 8,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_3fDW1vH9WZjsAya,girl,12,11 to 12,coins,coins / money
R_3fDW1vH9WZjsAya,girl,12,11 to 12,digital items,"items in video / computer / app games (if yes, enter the video game and/ or specific item your child collects)"
R_3fDW1vH9WZjsAya,girl,12,11 to 12,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_3KuT9TSAumB3HkH,girl,3,3 to 4,dolls,dolls
R_3KuT9TSAumB3HkH,girl,3,3 to 4,animal figurines,animal figurines
R_3KuT9TSAumB3HkH,girl,3,3 to 4,stuffed animals,stuffed animals
R_3KuT9TSAumB3HkH,girl,3,3 to 4,board games,"board games (if yes, enter some of your child's favorite games below)"
R_3KuT9TSAumB3HkH,girl,3,3 to 4,goo,goo / slime
R_3KuT9TSAumB3HkH,girl,3,3 to 4,music,music (physical objects such as records/CDs/cassettes or digital music)
R_3KuT9TSAumB3HkH,girl,3,3 to 4,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_3KuT9TSAumB3HkH,girl,3,3 to 4,shells,shells
R_3KuT9TSAumB3HkH,girl,3,3 to 4,books,"specific books or book series (if yes, enter any book series your child collects)"
R_3KuT9TSAumB3HkH,girl,3,3 to 4,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_3KuT9TSAumB3HkH,girl,3,3 to 4,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,dolls,dolls
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,stuffed animals,stuffed animals
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,goo,goo / slime
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,shells,shells
R_3PtTFUW1YmFO6Ae,girl,8,7 to 8,books,"specific books or book series (if yes, enter any book series your child collects)"
R_PujTaLV9BCD4TT3,boy,10,9 to 10,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_PujTaLV9BCD4TT3,boy,10,9 to 10,stuffed animals,stuffed animals
R_PujTaLV9BCD4TT3,boy,10,9 to 10,photos,photos / pictures
R_PujTaLV9BCD4TT3,boy,10,9 to 10,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_PujTaLV9BCD4TT3,boy,10,9 to 10,shells,shells
R_PujTaLV9BCD4TT3,boy,10,9 to 10,sticks,sticks
R_PujTaLV9BCD4TT3,boy,10,9 to 10,books,"specific books or book series (if yes, enter any book series your child collects)"
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,stuffed animals,stuffed animals
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,photos,photos / pictures
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,music,music (physical objects such as records/CDs/cassettes or digital music)
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,shells,shells
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,books,"specific books or book series (if yes, enter any book series your child collects)"
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_6Ay9ct2IFaqLMvn,girl,12,11 to 12,souvenirs,"souvenirs (if yes, enter the specific kinds of objects below)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,animal figurines,animal figurines
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,stuffed animals,stuffed animals
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,holiday,"holiday objects (e.g., snow globes or other ornaments)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,coins,coins / money
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,shells,shells
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,flowers,flowers / petals
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,books,"specific books or book series (if yes, enter any book series your child collects)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_3isYwxrgBqa35Uw,girl,6.5,5 to 6,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,stuffed animals,stuffed animals
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,balls,"balls (if yes, enter the specific types of objects below)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,construction toys,"blocks or construction toys (e.g., Lego) (if yes, enter the specific types of objects below)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,toy cars,"toy cars or other toy vehicles (if yes, enter the specific types of objects below)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,books,"specific books or book series (if yes, enter any book series your child collects)"
R_2ysbScXfxziCVFp,boy,6.5,5 to 6,art supplies,"pens / pencils / markers / other art supplies (if yes, enter the specific kinds of objects below)"
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,food,"food / perishables (e.g., specific kinds of candy)"
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,coins,coins / money
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,jewelry,"jewelry (if yes, enter the specific types of objects below)"
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,leaves,leaves
R_2tr2EtMFfnPdlbd,girl,5,5 to 6,clothes,"specific kinds of clothes or shoes (if yes, enter the specific kind below)"
R_31TNn55T6mEhgdW,girl,3,3 to 4,dolls,dolls
R_31TNn55T6mEhgdW,girl,3,3 to 4,photos,photos / pictures
R_2rPaVNubt712q2c,girl,3,3 to 4,dolls,dolls
R_2rPaVNubt712q2c,girl,3,3 to 4,animal figurines,animal figurines
R_2rPaVNubt712q2c,girl,3,3 to 4,stuffed animals,stuffed animals
R_2rPaVNubt712q2c,girl,3,3 to 4,board games,"board games (if yes, enter some of your child's favorite games below)"
R_2rPaVNubt712q2c,girl,3,3 to 4,food,"food / perishables (e.g., specific kinds of candy)"
R_2rPaVNubt712q2c,girl,3,3 to 4,goo,goo / slime
R_2rPaVNubt712q2c,girl,3,3 to 4,playsets,"specific kinds of playsets (e.g., Playmobil sets) (if yes, enter the specific types of objects below)"
R_2rPaVNubt712q2c,girl,3,3 to 4,TV characters,"characters from TV shows or movies (if yes, enter the specific kinds of objects or characters)"
R_1LpWvUJEznuFTQu,boy,7,7 to 8,trading cards,"trading cards (if yes, enter the specific types of objects below)"
R_2dj3KnJSMG1XahD,girl,4,3 to 4,stuffed animals,stuffed animals
R_2dj3KnJSMG1XahD,girl,4,3 to 4,rocks,"rocks / pebbles / crystals / gems (if yes, enter the specific types of objects below)"
R_2dj3KnJSMG1XahD,girl,4,3 to 4,flowers,flowers / petals
R_2dj3KnJSMG1XahD,girl,4,3 to 4,books,"specific books or book series (if yes, enter any book series your child collects)"
